dataset,error_message
008301,Loading /autofs/space/transcend/MEG/AttenVis/008301/visit_20220531/008301_AttenVis_run01_behaviour.mat
008301,No missing values in RT
008301,Loading /autofs/space/transcend/MEG/AttenVis/008301/visit_20220531/008301_AttenVis_run02_behaviour.mat
008301,No missing values in RT
008301,Loading /autofs/space/transcend/MEG/AttenVis/008301/visit_20220531/008301_AttenVis_run03_behaviour.mat
008301,No missing values in RT
009901,Loading /autofs/space/transcend/MEG/AttenVis/009901/visit_20190515/009901_AttenVis_run01_behaviour.mat
009901,No missing values in RT
009901,Loading /autofs/space/transcend/MEG/AttenVis/009901/visit_20190515/009901_AttenVis_run02_behaviour.mat
009901,No missing values in RT
009901,Loading /autofs/space/transcend/MEG/AttenVis/009901/visit_20190515/009901_AttenVis_run03_behaviour.mat
009901,No missing values in RT
011201,Loading /autofs/space/transcend/MEG/AttenVis/011201/visit_20200227/011201_AttenVis_run01_behaviour.mat
011201,No missing values in RT
011201,Loading /autofs/space/transcend/MEG/AttenVis/011201/visit_20200227/011201_AttenVis_run02_behaviour.mat
011201,No missing values in RT
011201,Loading /autofs/space/transcend/MEG/AttenVis/011201/visit_20200227/011201_AttenVis_run03_behaviour.mat
011201,"   event_name  condition  response first_condition first_response Condition difficulty  RT  correct
93     target      0.817       NaN      pop-out/10                  pop-out         10 NaN        1"
011301,Loading /autofs/space/transcend/MEG/AttenVis/011301/visit_20210421/011301_AttenVis_run01_behaviour.mat
011301,No missing values in RT
011301,Loading /autofs/space/transcend/MEG/AttenVis/011301/visit_20210421/011301_AttenVis_run02_behaviour.mat
011301,"   event_name  condition  response first_condition first_response Condition difficulty  RT  correct
63     target      0.819       NaN       search/10                   search         10 NaN        0"
011301,Loading /autofs/space/transcend/MEG/AttenVis/011301/visit_20210421/011301_AttenVis_run03_behaviour.mat
011301,No missing values in RT
011302,Loading /autofs/space/transcend/MEG/AttenVis/011302/visit_20210117/011302_AttenVis_run01_behaviour.mat
011302,No missing values in RT
011302,Loading /autofs/space/transcend/MEG/AttenVis/011302/visit_20210117/011302_AttenVis_run02_behaviour.mat
011302,No missing values in RT
011302,Loading /autofs/space/transcend/MEG/AttenVis/011302/visit_20210117/011302_AttenVis_run03_behaviour.mat
011302,No missing values in RT
013703,Loading /autofs/space/transcend/MEG/AttenVis/013703/visit_20210120/013703_AttenVis_run01_behaviour.mat
013703,No missing values in RT
